template	name	description
s3/sc-s3-public-ra.json	Amazon S3 Public Bucket with Read Only Access	This product builds an Amazon AWS S3 bucket with options for read only bucket with public access from any source.
s3/sc-s3-cidr-ra.json	Amazon S3 Private Bucket with CIDR Restricted Access	This product builds an Amazon AWS S3 bucket with private access accessible from a restricted source.
s3/sc-s3-encrypted-ra.json	Amazon S3 Private Encrypted Bucket	This product builds an Amazon AWS S3 bucket encrypted with private access accessible from any source.
s3/sc-s3-mfa-ra.json	Amazon S3 Private Bucket with MFA Delete Restrictions	This product builds an Amazon AWS S3 bucket with multi-factor authentication restricted bucket delete option.
s3/sc-s3-transition-ra.json	Amazon S3 Private Bucket with Transition Ruleset	This product builds an Amazon AWS S3 bucket with a transition ruleset to S3-IA and Glacier.
ec2/sc-ec2-linux2023-instance.yaml	Amazon EC2 Linux 2023	EC2 deployment with security hardening (IMDSv2, encrypted EBS, IAM roles, SSM Session Manager), operational monitoring (CloudWatch alarms, centralized logging, detailed metrics), and infrastructure best practices. Uses latest golden Mathematica Amazon Linux 2023 AMI.
ec2/sc-ec2-windows2016-instance.yaml	Amazon EC2 Windows 2016	EC2 deployment with security hardening (IMDSv2, encrypted EBS, IAM roles, SSM Session Manager), operational monitoring (CloudWatch alarms, centralized logging, detailed metrics), and infrastructure best practices. Uses latest golden Mathematica Windows 2016 AMI.
ec2/sc-ec2-windows2019-instance.yaml	Amazon EC2 Windows 2019	EC2 deployment with security hardening (IMDSv2, encrypted EBS, IAM roles, SSM Session Manager), operational monitoring (CloudWatch alarms, centralized logging, detailed metrics), and infrastructure best practices. Uses latest golden Mathematica Windows 2019 AMI.
ec2/sc-ec2-windows2022-instance.yaml	Amazon EC2 Windows 2022	EC2 deployment with security hardening (IMDSv2, encrypted EBS, IAM roles, SSM Session Manager), operational monitoring (CloudWatch alarms, centralized logging, detailed metrics), and infrastructure best practices. Uses latest golden Mathematica Windows 2022 AMI.
elb/alb-tls-encrypted-port-fwd.yaml	Application Load Balancer with SSL/TLS	Secure EC2 instance behind Application Load Balancer with SSL/TLS best practices
serverless/sc-serverless-lambda.yml	AWS Lambda Serverless Application	ServiceCatalog Resource template for Serverless application with Lambda functions
one_business_unit/sc-serverless-monitoring.yaml	Serverless API Monitoring	API Gateway/Lambda alarms for Lambda hosted Serverless API application
